name,location,link
Ankkuri,Kirkkonummi,http://menu.leijonacatering.fi/AromieMenus/FI/Default/Leijona/AnkkuriUpinniemi/Rss.aspx?Id=f7f85df9-33d8-4469-976c-79634f7374ce&DateMode=0
Cirrus,Siilinjärvi,http://ruokalistat.leijonacatering.fi/rss/2/1/1523c930-f813-e511-892b-78e3b50298fc
Creutz,Raasepori,http://ruokalistat.leijonacatering.fi/rss/2/1/65b125f6-f713-e511-892b-78e3b50298fc
Falkonetti,Kankaanpää,http://ruokalistat.leijonacatering.fi/rss/2/1/25022d4c-f813-e511-892b-78e3b50298fc
Hilma,Helsinki,http://ruokalistat.leijonacatering.fi/rss/2/1/55949a7b-f813-e511-892b-78e3b50298fc
Hoikanhovi,Kajaani,http://ruokalistat.leijonacatering.fi/rss/2/1/c56d6724-f813-e511-892b-78e3b50298fc
Ignatius,Helsinki,http://ruokalistat.leijonacatering.fi/rss/2/1/25b89e42-f813-e511-892b-78e3b50298fc
Kotka,Kouvola,http://ruokalistat.leijonacatering.fi/rss/2/1/85a09ab2-f813-e511-892b-78e3b50298fc
Liesi,Riihimäki,http://ruokalistat.leijonacatering.fi/rss/2/1/95b4bc5d-f813-e511-892b-78e3b50298fc
Linna,Pirkkala,http://ruokalistat.leijonacatering.fi/rss/2/1/25b3a8ba-f813-e511-892b-78e3b50298fc
Luonetti,Jyväskylä,http://ruokalistat.leijonacatering.fi/rss/2/1/2576a07c-f913-e511-892b-78e3b50298fc
Poiju,Turku,http://ruokalistat.leijonacatering.fi/rss/2/1/35121e9f-f813-e511-892b-78e3b50298fc
Raakuna,Lappeenranta,http://ruokalistat.leijonacatering.fi/rss/2/1/65494b38-f813-e511-892b-78e3b50298fc
Rokka,Hamina,http://ruokalistat.leijonacatering.fi/rss/2/1/a5cbc816-f813-e511-892b-78e3b50298fc
Ruben,Hattula,http://ruokalistat.leijonacatering.fi/rss/2/1/65071957-f813-e511-892b-78e3b50298fc
Rumpalinpoika,Säkylä,http://ruokalistat.leijonacatering.fi/rss/2/1/25f04a86-f813-e511-892b-78e3b50298fc
Sahara,Helsinki,http://ruokalistat.leijonacatering.fi/rss/2/1/549339f9-e510-e511-892b-78e3b50298fc
Somero,Rovaniemi,http://ruokalistat.leijonacatering.fi/rss/2/1/95788a67-f813-e511-892b-78e3b50298fc
Sääksi,Pirkkala,http://ruokalistat.leijonacatering.fi/rss/2/1/05b0c494-f813-e511-892b-78e3b50298fc
Tähti,Sodankylä,http://ruokalistat.leijonacatering.fi/rss/2/1/351a0772-f813-e511-892b-78e3b50298fc
